"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-01",,"0.0","0.0","5.0","-6.7","-4.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-02",,"0.0","0.0","2.2","-10.6","-10.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-03",,"0.0","0.0","3.9","-10.6","-10.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-04",,"0.0","0.0","5.0","-10.6","-7.8"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-05",,"0.0","0.0","11.7","-8.3","-5.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-06",,"0.0","0.0","16.7","-5.0","3.3"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-07",,"0.0","0.0","16.7","1.1","6.1"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-08",,"27.9","0.0","18.9","0.0","0.6"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-09",,"0.0","0.0","8.9","-5.0","-4.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-10",,"0.0","0.0","7.2","-7.8","-7.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-11",,"12.2","0.0","10.6","2.8","4.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-12",,"2.0","0.0","8.3","1.7","2.8"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-13",,"0.0","0.0","5.6","2.2","3.3"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-14",,"2.0","0.0","11.1","2.8","6.1"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-15",,"3.0","0.0","14.4","5.6","8.9"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-16",,"3.0","0.0","17.2","4.4","5.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-17",,"20.1","0.0","6.7","4.4","6.1"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2001-01-18",,"3.0","0.0","10.0","5.6","8.9"
