"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-01",,"42.4","0.0","17.2","5.0","5.6"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-02",,"0.0","0.0","17.2","5.0","7.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-03",,"0.0","0.0","10.0","0.6","0.6"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-04",,"0.0","0.0","7.2","-5.0","-5.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-05",,"0.0","0.0","14.4","-5.0","4.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-06",,"0.0","0.0","17.8","-1.1","-0.6"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-07",,"0.0","0.0","13.3","-5.0","-5.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-08",,"0.0","0.0","11.7","-5.0","-1.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-09",,"0.0","0.0","18.3","-2.2","1.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-10",,"0.3","0.0","20.0","0.0","5.6"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-11",,"0.0","0.0","12.8","-3.9","-1.1"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-12",,"0.0","0.0","7.2","-1.7","-0.6"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-13",,"0.0","0.0","3.9","-1.1","0.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-14",,"0.0","0.0","11.1","-4.4","-4.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-15",,"0.0","0.0","13.3","-4.4","-2.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-16",,"0.0","0.0","11.7","-3.3","3.9"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-17",,"0.0","0.0","12.2","-2.2","-2.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-18",,"0.0","0.0","7.8","-11.1","-9.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-19",,"0.0","0.0","9.4","-11.1","-6.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-20",,"0.0","0.0","13.3","-6.7","6.1"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-21",,"0.0","0.0","20.0","0.6","10.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-22",,"0.8","0.0","20.0","3.3","3.3"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-23",,"0.0","0.0","10.6","-7.2","-7.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-24",,"0.0","0.0","4.4","-12.2","-12.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-25",,"0.0","0.0","7.8","-12.2","-3.9"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-26",,"0.0","0.0","6.1","-4.4","1.1"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-27",,"0.0","0.0","11.7","-5.0","-5.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-28",,"0.0","0.0","11.1","-5.0","2.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-29",,"0.8","0.0","15.6","1.7","11.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-30",,"40.6","0.0","16.1","4.4","4.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-01-31",,"0.8","0.0","10.6","-2.8","-1.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-02-01",,"0.0","0.0","7.2","-1.7","3.9"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-02-02",,"0.0","0.0","17.2","-1.1","4.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-02-03",,"0.0","0.0","21.7","6.7","12.8"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-02-04",,"2.8","0.0","22.2","2.8","2.8"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-02-05",,"0.0","0.0","13.3","-3.9","-3.9"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-02-06",,"5.3","0.0","10.6","-3.9","3.3"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2003-02-07",,"23.4","0.0","6.1","1.7","2.2"
